x,y,z
0,3.125,-8.125
0.3125,3.125,-7.8125
0.625,3.125,-7.5
1.25,3.125,-7.1875
1.5625,3.125,-6.875
1.875,3.125,-6.5625
2.1875,3.125,-6.25
2.5,3.125,-5.9375
2.8125,3.125,-5.625
3.125,2.8125,-5.3125
3.4375,2.8125,-5
3.75,2.5,-4.6875
4.0625,2.1875,-4.375
4.375,1.875,-4.0625
4.6875,1.875,-3.75
5,1.5625,-3.4375
5,0.9375,-3.125
5.3125,0.625,-2.8125
5.3125,0.3125,-2.5
5.625,0,-2.1875
5.625,-0.625,-1.875
5.625,-0.9375,-1.875
5.9375,-1.25,-1.25
5.9375,-1.875,-1.25
5.9375,-2.1875,-0.9375
5.9375,-2.8125,-0.625
5.9375,-3.125,-0.3125
5.9375,-3.4375,0
5.9375,-4.0625,0.3125
5.9375,-4.375,0.625
5.625,-4.6875,0.9375
5.625,-5.3125,1.25
5.3125,-5.625,1.5625
5.3125,-5.9375,1.875
5,-5.9375,2.1875
5,-6.25,2.5
4.6875,-6.5625,2.8125
4.375,-6.5625,3.125
4.0625,-6.875,3.4375
3.75,-6.875,3.75
3.4375,-6.875,4.0625
3.4375,-6.875,4.375
2.8125,-6.5625,4.6875
2.5,-6.5625,5
2.1875,-6.25,5
1.875,-6.25,5.625
1.5625,-5.9375,5.9375
1.25,-5.3125,5.9375
0.625,-5,6.25
